code,name,male couples,female couples,opposite-sex couples,total couples
SAL12911,Narrabeen,6,10,1785,1802
SAL12912,Narrabri,3,7,1536,1550
SAL12913,Narraburra,0,0,21,21
SAL12914,Narran Lake,0,0,4,4
SAL12915,Narrandera,0,8,819,824
SAL12916,Narrangullen,0,0,4,4
SAL12917,Narrawa,0,0,29,29
SAL12918,Narrawallee,0,0,367,371
SAL12919,Narraweena,5,8,1506,1515
SAL12920,Narromine,4,3,904,902
SAL12921,Narwee,4,0,1146,1152
SAL12922,Nashdale,0,0,109,109
SAL12923,Nashua,0,0,59,61
SAL12924,Nattai,0,0,14,14
SAL12925,Naughtons Gap,0,0,29,29
SAL12926,Neath,4,4,77,87
SAL12927,Nebea,0,0,3,3
SAL12928,Neilrex,0,0,26,26
SAL12929,Nelligen,0,0,105,106
SAL12930,Nelson (Bega Valley - NSW),0,0,3,3
SAL12931,Nelson (The Hills Shire - NSW),0,0,121,121
SAL12932,Nelson Bay (NSW),4,17,1394,1413
SAL12933,Nelsons Plains,0,0,83,83
SAL12934,Nelungaloo,0,0,13,13
SAL12935,Nemingha,0,0,171,173
SAL12936,Nericon,0,0,62,62
SAL12937,Neringla,0,0,6,6
SAL12938,Nerong,0,0,45,45
SAL12939,Nerriga,0,0,17,17
SAL12940,Nerrigundah,0,0,12,12
SAL12941,Nethercote,0,0,87,87
SAL12942,Neurea,0,0,36,36
SAL12943,Neutral Bay,41,8,2122,2177
SAL12944,Never Never,0,0,0,0
SAL12945,Nevertire,0,0,28,28
SAL12946,Neville,0,0,54,52
SAL12947,New Berrima,0,0,117,118
SAL12948,New Brighton,0,0,69,73
SAL12949,New Buildings,0,0,6,6
SAL12950,New Italy,0,0,52,52
SAL12951,New Lambton,15,22,2206,2243
SAL12952,New Lambton Heights,0,3,653,656
SAL12953,New Mexico,0,0,16,16
SAL12954,New Park,0,0,31,31
SAL12955,New Valley,0,0,5,5
SAL12956,Newbold,0,0,0,0
SAL12957,Newbridge (NSW),4,0,48,53
SAL12958,Newcastle,18,7,799,824
SAL12959,Newcastle East,4,4,192,196
SAL12960,Newcastle West,4,0,290,296
SAL12961,Newee Creek,0,0,99,99
SAL12962,Newington (NSW),12,11,1416,1444
SAL12963,Newnes,0,0,0,0
SAL12964,Newnes Plateau,0,0,0,0
SAL12965,Newport (NSW),11,9,2407,2421
SAL12966,Newrybar,0,3,121,128
SAL12967,Newstead (NSW),0,0,6,6
SAL12968,Newton Boyd,0,0,7,7
SAL12969,Newtown (NSW),273,119,2453,2848
SAL12970,Niagara Park,8,7,595,602
SAL12971,Niangala,0,0,43,43
SAL12972,Niemur,0,0,14,14
SAL12973,Nightcap,0,0,0,0
SAL12974,Nimbin,9,3,211,221
SAL12975,Nimmitabel,0,0,68,68
SAL12976,Nimmo,0,0,7,7
SAL12977,Nirimba Fields,7,3,392,398
SAL12978,Nobbys Creek,0,0,72,72
SAL12979,Nombi,0,0,18,18
SAL12980,Noona,0,0,3,3
SAL12981,Noorong,0,0,4,4
SAL12982,Nooroo,0,0,13,13
SAL12983,Norah Head,0,0,279,279
SAL12984,Noraville,0,5,623,632
SAL12985,Nords Wharf,0,3,214,217
SAL12986,Normanhurst,4,5,1297,1306
SAL12987,North Albury,8,3,1086,1096
SAL12988,North Arm (NSW),0,0,31,31
SAL12989,North Arm Cove,0,0,137,141
SAL12990,North Avoca,0,0,581,581
SAL12991,North Balgowlah,5,4,908,918
SAL12992,North Batemans Bay,4,0,173,175
SAL12993,North Boambee Valley,0,0,498,503
SAL12994,North Bondi,10,16,1984,2010
SAL12995,North Bourke,0,0,42,45
SAL12996,North Brother,0,0,0,0
SAL12997,North Casino,0,0,265,268
SAL12998,North Curl Curl,6,3,974,976
SAL12999,North Dorrigo,0,0,50,50
SAL13000,North Epping,0,0,1210,1214
SAL13001,North Gosford,12,0,765,777
SAL13002,North Haven (NSW),0,4,372,372
SAL13003,North Kellyville,11,11,4227,4255
SAL13004,North Lambton,4,8,614,624
SAL13005,North Lismore,3,3,125,128
SAL13006,North Macksville,0,3,142,150
SAL13007,North Manly,3,0,788,793
SAL13008,North Narooma,0,0,192,189
SAL13009,North Narrabeen,0,5,1391,1392
SAL13010,North Nowra,12,8,1263,1279
SAL13011,North Parramatta,27,24,2287,2341
SAL13012,North Richmond,5,6,1439,1453
SAL13013,North Rocks,7,4,2278,2294
SAL13014,North Rothbury,3,7,580,589
SAL13015,North Ryde,18,26,3295,3338
SAL13016,North Shore (NSW),0,0,95,101
SAL13017,North St Marys,0,6,593,601
SAL13018,North Star,0,0,42,42
SAL13019,North Strathfield,9,9,981,996
SAL13020,North Sydney,60,21,1887,1968
SAL13021,North Tamworth,0,9,1186,1193
SAL13022,North Tumbulgum,0,0,56,56
SAL13023,North Turramurra,3,0,1003,1008
SAL13024,North Wagga Wagga,0,0,142,143
SAL13025,North Wahroonga,0,0,543,540
SAL13026,North Willoughby,3,4,938,950
SAL13027,North Wollongong,3,3,391,395
SAL13028,North Woodburn,0,0,30,30
SAL13029,North Yalgogrin,0,0,15,15
SAL13030,North Yeoval,0,0,22,22
SAL13031,Northangera,0,0,11,11
SAL13032,Northbridge (NSW),11,7,1558,1573
SAL13033,Northmead,13,16,2539,2565
SAL13034,Northwood (NSW),0,0,246,250
SAL13035,Norway,0,0,11,12
SAL13036,Norwest,0,3,1157,1157
SAL13037,Nowendoc,0,0,31,31
SAL13038,Nowley,0,0,14,14
SAL13039,Nowra,13,13,1635,1661
SAL13040,Nowra Hill,0,0,287,290
SAL13041,Nubba,0,0,22,22
SAL13042,Nulkaba,4,0,178,185
SAL13043,Nullamanna,0,0,43,43
SAL13044,Nullica,0,0,6,6
SAL13045,Nullo Mountain,0,0,9,9
SAL13046,Numbaa,0,0,27,29
SAL13047,Number One,0,0,7,7
SAL13048,Numbla Vale,0,0,11,11
SAL13049,Numbugga,0,0,31,31
SAL13050,Numeralla,0,0,65,65
SAL13051,Numinbah,0,0,16,16
SAL13052,Numulgi,0,0,54,54
SAL13053,Nunderi,3,0,182,184
SAL13054,Nundle,0,0,83,83
SAL13055,Nungatta,0,0,0,0
SAL13056,Nungatta South,0,0,0,0
SAL13057,Nurenmerenmong,0,0,6,6
SAL13058,Nymagee,0,0,18,18
SAL13059,Nymboida,0,0,48,50
SAL13060,Nyngan,4,0,409,419
SAL13061,Nyora (NSW),0,0,3,3
SAL13062,Nyrang Creek,0,0,9,9
SAL13063,O'Connell (NSW),0,0,169,175
SAL13064,Oak Flats,0,5,1493,1495
SAL13065,Oakdale (NSW),0,0,473,473
SAL13066,Oakey Park,0,0,56,57
SAL13067,Oakhampton,0,0,25,25
SAL13068,Oakhampton Heights,0,0,41,41
SAL13069,Oakhurst (NSW),0,11,1468,1481
SAL13070,Oaklands,0,0,77,75
SAL13071,Oakville,0,0,505,513
SAL13072,Oakwood (NSW),0,0,47,47
SAL13073,Oallen,0,0,35,35
SAL13074,Oatlands (NSW),8,3,1314,1331
SAL13075,Oatley,9,12,2640,2661
SAL13076,Oban,0,0,0,0
SAL13077,Obanvale,0,0,8,8
SAL13078,Oberne Creek,0,0,15,15
SAL13079,Oberon,3,3,673,684
SAL13080,Obley,0,0,26,26
SAL13081,Ocean Shores,5,13,1118,1132
SAL13082,Ogunbil,0,0,39,39
SAL13083,Old Adaminaby,0,0,10,10
SAL13084,Old Bar,0,3,1139,1142
SAL13085,Old Bonalbo,0,0,11,11
SAL13086,Old Erowal Bay,0,3,210,219
SAL13087,Old Grevillia,0,0,16,16
SAL13088,Old Guildford,0,0,497,495
SAL13089,Old Junee,0,0,66,66
SAL13090,Old Mill,0,0,7,7
SAL13091,Old Station,0,0,5,5
SAL13092,Old Toongabbie,0,6,740,748
SAL13093,Olinda (NSW),0,0,11,11
SAL13094,Olney,0,0,0,0
SAL13095,Omadale,0,0,0,0
SAL13096,One Mile (NSW),0,0,112,114
SAL13097,One Tree,0,0,7,7
SAL13098,Oolong,0,0,13,13
SAL13099,Ooma,0,0,11,11
SAL13100,Ootha,0,0,11,11
SAL13101,Ophir,0,0,34,34
SAL13102,Oran Park,17,28,3985,4027
SAL13103,Orange,38,54,8331,8418
SAL13104,Orange Grove (NSW),0,0,10,10
SAL13105,Orangeville,0,0,350,354
SAL13106,Orchard Hills,5,0,442,446
SAL13107,Orient Point,0,0,135,131
SAL13108,Orton Park,0,0,8,8
SAL13109,Osborne (NSW),0,0,13,13
SAL13110,Osterley (NSW),0,0,38,40
SAL13111,Oswald,0,0,18,19
SAL13112,Otford,0,0,96,103
SAL13113,Oura,0,0,57,57
SAL13114,Ourimbah,8,9,916,926
SAL13115,Ournie,0,0,5,5
SAL13116,Owens Gap,0,0,24,24
SAL13117,Oxford Falls,0,0,68,68
SAL13118,Oxley (Balranald - NSW),0,0,8,8
SAL13119,Oxley (Warren - NSW),0,0,0,0
SAL13120,Oxley Island,0,0,76,76
SAL13121,Oxley Park,3,3,757,762
SAL13122,Oxley Vale,0,7,725,739
SAL13123,Oyster Bay,3,8,1448,1452
SAL13124,Oyster Cove (NSW),0,0,22,24
SAL13125,Packsaddle,0,0,14,14
SAL13126,Paddington (NSW),155,33,2437,2624
SAL13127,Paddys Flat (Kyogle - NSW),0,0,0,0
SAL13128,Paddys Flat (Snowy Monaro Regional - NSW),0,0,7,7
SAL13129,Paddys River (Snowy Valleys - NSW),0,0,3,3
SAL13130,Paddys River (Wingecarribee - NSW),0,0,17,17
SAL13131,Padstow,21,22,3047,3087
SAL13132,Padstow Heights,0,4,814,822
SAL13133,Pagans Flat,0,0,0,0
SAL13134,Pages Creek,0,0,5,5
SAL13135,Pages River,0,0,4,4
SAL13136,Pagewood,4,6,841,852
SAL13137,Palarang,0,0,8,8
SAL13138,Palerang,0,0,0,0
SAL13139,Paling Yards (Bathurst Regional - NSW),0,0,6,6
SAL13140,Paling Yards (Oberon - NSW),0,0,5,5
SAL13141,Pallal,0,0,19,19
SAL13142,Pallamallawa,0,0,83,83
SAL13143,Palm Beach (NSW),6,0,429,436
SAL13144,Palm Grove (NSW),0,0,25,25
SAL13145,Palmdale (NSW),0,0,20,20
SAL13146,Palmers Channel,0,0,35,35
SAL13147,Palmers Island,0,0,128,128
SAL13148,Palmers Oaky,0,0,3,3
SAL13149,Palmvale,0,0,28,26
SAL13150,Palmwoods (NSW),0,0,8,8
SAL13151,Pambula,0,0,197,199
SAL13152,Pambula Beach,0,0,168,171
SAL13153,Pampoolah,0,0,109,109
SAL13154,Pan Ban,0,0,7,7
SAL13155,Panania,20,15,2972,3007
SAL13156,Pangee,0,0,6,6
SAL13157,Panuara,0,0,19,19
SAL13158,Pappinbarra,0,0,22,22
SAL13159,Para,0,0,0,0
SAL13160,Paradise (NSW),0,0,0,0
SAL13161,Paringi,0,0,8,8
SAL13162,Parkes (NSW),9,9,2313,2329
SAL13163,Parkesbourne,0,0,41,41
SAL13164,Parklea,4,0,562,563
SAL13165,Parkville (NSW),0,0,69,69
SAL13166,Parma,0,0,44,44
SAL13167,Parramatta,61,41,6430,6542
SAL13168,Parraweena,0,0,13,13
SAL13169,Patchs Beach,0,0,11,13
SAL13170,Paterson (NSW),0,0,249,249
SAL13171,Patonga,0,0,51,58
SAL13172,Paupong,0,0,0,0
SAL13173,Paxton,0,0,254,256
SAL13174,Paynes Crossing,0,0,12,12
SAL13175,Paytens Bridge,0,0,21,21
SAL13176,Peacock Creek,0,0,6,6
SAL13177,Peak Hill (NSW),0,0,191,194
SAL13178,Peak View,0,0,11,13
SAL13179,Peakhurst,6,13,2572,2590
SAL13180,Peakhurst Heights,0,4,602,606
SAL13181,Pearces Creek,0,0,49,55
SAL13182,Pearl Beach,4,0,139,143
SAL13183,Peats Ridge,0,0,61,60
SAL13184,Pebbly Beach,0,0,0,0
SAL13185,Peel,0,0,68,67
SAL13186,Peelwood,0,0,10,10
SAL13187,Pejar,0,0,23,23
SAL13188,Pelaw Main,0,0,212,214
SAL13189,Pelican (NSW),0,0,225,226
SAL13190,Pelton,0,0,17,17
SAL13191,Pembrooke,0,0,36,34
SAL13192,Pemulwuy,4,0,1298,1305
SAL13193,Pendle Hill,12,5,1557,1566
SAL13194,Pennant Hills,3,5,1848,1851
SAL13195,Penrith,40,50,2995,3081
SAL13196,Penrose,0,0,54,57
SAL13197,Penshurst (NSW),13,8,2782,2809
SAL13198,Pericoe,0,0,4,4
SAL13199,Perisher Valley,0,0,4,4
SAL13200,Perrys Crossing,0,0,0,0
SAL13201,Perthville,0,0,138,138
SAL13202,Petersham,59,67,1520,1646
SAL13203,Pheasants Nest,0,4,173,180
SAL13204,Phegans Bay,0,0,100,103
SAL13205,Phillip Bay,4,5,158,161
SAL13206,Phoenix Park,0,0,20,20
SAL13207,Piallamore,0,0,81,81
SAL13208,Piallaway,0,0,29,29
SAL13209,Piambong,0,0,44,44
SAL13210,Picketts Valley,0,0,54,54
SAL13211,Picnic Point,3,3,1555,1561
SAL13212,Picton (NSW),7,10,1260,1275
SAL13213,Pigeonbah,0,0,4,4
SAL13214,Piggabeen,0,0,87,87
SAL13215,Pikapene,0,0,0,0
SAL13216,Pillar Valley,0,0,74,74
SAL13217,Pilliga,0,0,27,27
SAL13218,Pilot Wilderness,0,0,0,0
SAL13219,Pimlico (NSW),0,0,70,75
SAL13220,Pimlico Island,0,0,0,0
SAL13221,Pinbeyan,0,0,0,0
SAL13222,Pindaroi,0,0,13,13
SAL13223,Pindimar,0,0,98,104
SAL13224,Pine Camp,0,0,0,0
SAL13225,Pine Clump,0,0,0,0
SAL13226,Pine Grove (NSW),0,0,0,0
SAL13227,Pine Lodge (NSW),0,0,6,6
SAL13228,Pine Ridge,0,0,24,24
SAL13229,Pine Valley,0,0,8,8
SAL13230,Piney Range,0,0,17,17
SAL13231,Pinkett,0,0,18,18
SAL13232,Pinnacle (NSW),0,0,11,11
SAL13233,Pinnacle Swamp,0,0,6,6
SAL13234,Pinny Beach,0,0,0,0
SAL13235,Piora,0,0,18,18
SAL13236,Pipeclay,0,0,25,25
SAL13237,Pitnacree,0,0,10,10
SAL13238,Pitt Town,0,0,984,985
SAL13239,Pitt Town Bottoms,0,0,16,16
SAL13240,Pleasant Hills,0,0,30,30
SAL13241,Pleasure Point,0,0,159,159
SAL13242,Plumpton (NSW),5,5,2135,2142
SAL13243,Point Clare,5,9,859,872
SAL13244,Point Frederick,4,0,447,449
SAL13245,Point Piper,3,0,303,307
SAL13246,Point Wolstoncroft,0,0,0,0
SAL13247,Pointer Mountain,0,0,4,4
SAL13248,Pokolbin,4,0,322,321
SAL13249,Pola Creek,0,0,17,17
SAL13250,Polo Flat,0,0,3,3
SAL13251,Pomeroy,0,0,23,23
SAL13252,Pomona (NSW),0,0,29,29
SAL13253,Ponto,0,0,10,10
SAL13254,Pooncarie,0,0,33,33
SAL13255,Port Botany,0,0,0,0
SAL13256,Port Hacking,0,0,306,306
SAL13257,Port Kembla,6,13,974,995
SAL13258,Port Macquarie,51,71,10494,10616
SAL13259,Port Stephens,0,0,0,0
SAL13260,Porters Creek,0,0,0,0
SAL13261,Porters Retreat,0,0,16,16
SAL13262,Portland (NSW),4,10,509,523
SAL13263,Possum Brush,0,0,40,40
SAL13264,Possum Creek,0,0,59,62
SAL13265,Potato Point,0,0,41,41
SAL13266,Pottery Estate,0,0,14,14
SAL13267,Potts Hill,0,3,312,319
SAL13268,Potts Point,228,32,850,1115
SAL13269,Pottsville,8,14,1672,1686
SAL13270,Prairiewood,0,0,738,740
SAL13271,Premer,0,0,19,19
SAL13272,Prestons,5,10,3340,3351
SAL13273,Pretty Beach (Central Coast - NSW),0,3,81,80
SAL13274,Pretty Beach (Shoalhaven - NSW),0,0,0,0
SAL13275,Pretty Pine,0,0,11,11
SAL13276,Primbee,0,0,331,337
SAL13277,Primrose Valley,0,0,39,39
SAL13278,Prospect (NSW),4,7,1221,1233
SAL13279,Providence Portal,0,0,0,0
SAL13280,Pucawan,0,0,10,10
SAL13281,Puddledock,0,0,10,10
SAL13282,Pulganbar,0,0,0,0
SAL13283,Pullabooka,0,0,10,10
SAL13284,Pulletop,0,0,18,18
SAL13285,Pumpenbil,0,0,54,55
SAL13286,Punchbowl (Canterbury-Bankstown - NSW),18,13,3853,3886
SAL13287,Punchbowl (Clarence Valley - NSW),0,0,3,3
SAL13288,Purfleet,0,0,10,10
SAL13289,Purlewaugh,0,0,21,21
SAL13290,Putney,6,0,1036,1042
SAL13291,Putta Bucca,0,0,55,55
SAL13292,Putty,0,0,21,21
SAL13293,Pyangle,0,0,6,6
SAL13294,Pymble,9,9,3006,3027
SAL13295,Pyramul,0,0,14,14
SAL13296,Pyree,0,0,26,26
SAL13297,Pyrmont,91,51,2631,2773
SAL13298,Quaama,0,0,75,78
SAL13299,Quakers Hill,12,34,6455,6501
SAL13300,Quambone,0,0,27,24
SAL13301,Quanda,0,0,3,3
SAL13302,Quandary,0,0,14,14
SAL13303,Quandialla,0,0,35,35
SAL13304,Queanbeyan,4,17,1148,1176
SAL13305,Queanbeyan East,10,6,772,793
SAL13306,Queanbeyan West,3,0,651,656
SAL13307,Queens Park (NSW),13,0,710,724
SAL13308,Queens Pinch,0,0,11,11
SAL13309,Queenscliff (NSW),3,3,859,874
SAL13310,Quialigo,0,0,60,60
SAL13311,Quidong,0,0,0,0
SAL13312,Quiera,0,0,0,0
SAL13313,Quipolly,0,0,48,48
SAL13314,Quirindi,5,0,665,670
SAL13315,Quorrobolong,0,0,144,151
SAL13316,Raby,0,0,1373,1372
SAL13317,Raglan (NSW),0,0,283,289
SAL13318,Rainbow Flat,0,0,193,193
SAL13319,Rainbow Reach,0,0,21,21
SAL13320,Raleigh,0,0,144,142
SAL13321,Ramornie,0,0,50,47
SAL13322,Ramsgate,0,0,258,256
SAL13323,Ramsgate Beach,0,9,362,373
SAL13324,Rand,0,0,43,43
SAL13325,Randwick,75,66,5997,6141
SAL13326,Rangari,0,0,12,12
SAL13327,Rangers Valley,0,0,7,7
SAL13328,Rankin Park,0,6,648,651
SAL13329,Rankins Springs,0,0,45,45
SAL13330,Rannock,0,0,15,15
SAL13331,Rappville,0,0,24,24
SAL13332,Rathmines,0,0,503,502
SAL13333,Ravensdale,0,0,20,20
SAL13334,Ravenswood (NSW),0,0,61,61
SAL13335,Ravensworth (NSW),0,0,0,0
SAL13336,Rawdon Island,0,0,31,31
SAL13337,Rawdon Vale,0,0,9,9
SAL13338,Raworth,0,3,508,515
SAL13339,Rawsonville,0,0,11,11
SAL13340,Raymond Terrace,23,25,2493,2542
SAL13341,Razorback,0,3,282,286
SAL13342,Red Head,4,4,215,226
SAL13343,Red Hill (Snowy Valleys - NSW),0,0,3,3
SAL13344,Red Hill (Tamworth Regional - NSW),0,0,3,3
SAL13345,Red Hill (Warren - NSW),0,0,0,0
SAL13346,Red Range,0,0,50,50
SAL13347,Red Rock,0,0,91,91
SAL13348,Red Rocks,0,0,0,0
SAL13349,Redbank (NSW),0,0,99,104
SAL13350,Redbournberry,0,0,63,63
SAL13351,Reddestone,0,0,12,12
SAL13352,Redfern,304,62,1946,2311
SAL13353,Redhead,0,6,816,822
SAL13354,Redlands,0,0,10,10
SAL13355,Reedy Creek (NSW),0,0,41,41
SAL13356,Reedy Swamp,0,0,20,20
SAL13357,Reefton (NSW),0,0,4,4
SAL13358,Regents Park (NSW),3,9,967,977
SAL13359,Regentville,0,0,190,193
SAL13360,Reids Flat,0,0,25,25
SAL13361,Reidsdale,0,0,29,29
SAL13362,Rennie,0,0,4,4
SAL13363,Reno,0,0,27,27
SAL13364,Renwick,6,3,386,397
SAL13365,Repentance Creek,0,0,24,24
SAL13366,Repton,0,4,175,182
SAL13367,Reserve Creek,0,0,39,39
SAL13368,Retreat (NSW),0,0,14,14
SAL13369,Revesby,8,12,3132,3159
SAL13370,Revesby Heights,4,0,445,453
SAL13371,Rhine Falls,0,0,11,11
SAL13372,Rhodes,38,26,2838,2901
SAL13373,Richards,0,0,5,5
SAL13374,Richlands (NSW),0,0,11,11
SAL13375,Richmond (NSW),9,6,904,917
SAL13376,Richmond Hill (NSW),5,0,255,259
SAL13377,Richmond Lowlands,0,0,8,8
SAL13378,Richmond Vale,0,0,22,22
SAL13379,Rileys Hill,0,0,47,47
SAL13380,Ringwood (NSW),0,0,8,8
SAL13381,Riverlea,0,0,9,9
SAL13382,Riverside (NSW),0,0,80,80
SAL13383,Riverstone,9,12,1846,1870
SAL13384,Rivertree,0,0,0,0
SAL13385,Riverview (NSW),3,0,748,754
SAL13386,Riverwood,13,10,2461,2494
SAL13387,Rixs Creek,0,0,6,6
SAL13388,Rob Roy,0,0,21,21
SAL13389,Robertson (NSW),4,3,483,491
SAL13390,Robin Hill,0,0,263,263
SAL13391,Rock Flat,0,0,21,21
SAL13392,Rock Forest,0,0,34,34
SAL13393,Rock Valley,0,7,65,73
SAL13394,Rockdale,39,27,3183,3252
SAL13395,Rockley,0,0,44,43
SAL13396,Rockley Mount,0,0,16,16
SAL13397,Rockton,0,0,5,5
SAL13398,Rocky Creek (Gwydir - NSW),0,0,4,4
SAL13399,Rocky Creek (Inverell - NSW),0,0,8,8
SAL13400,Rocky Glen,0,0,13,15
SAL13401,Rocky Hall,0,0,10,10
SAL13402,Rocky Plain (NSW),0,0,16,16
SAL13403,Rocky Point (NSW),0,0,64,64
SAL13404,Rocky River (Tenterfield - NSW),0,0,3,3
SAL13405,Rocky River (Uralla - NSW),0,0,55,59
SAL13406,Rodd Point,0,0,347,352
SAL13407,Rollands Plains,0,0,44,44
SAL13408,Rookhurst,0,0,17,16
SAL13409,Rookwood (NSW),0,0,0,0
SAL13410,Rooty Hill,7,18,3239,3266
SAL13411,Ropes Crossing,3,13,1573,1589
SAL13412,Rose Bay (NSW),19,15,2205,2242
SAL13413,Rose Valley (Kiama - NSW),0,0,23,23
SAL13414,Rose Valley (Snowy Monaro Regional - NSW),0,0,7,7
SAL13415,Rosebank,6,5,87,96
SAL13416,Roseberg,0,0,11,11
SAL13417,Roseberry,0,0,3,3
SAL13418,Roseberry Creek,0,0,15,15
SAL13419,Rosebery (NSW),102,40,3037,3180
SAL13420,Rosebrook (NSW),0,0,15,15
SAL13421,Rosedale (NSW),0,0,59,59
SAL13422,Rosehill (NSW),4,0,841,844
SAL13423,Roselands,16,12,2540,2564
SAL13424,Rosemeadow,0,11,1568,1576
SAL13425,Rosemeath,0,0,9,6
SAL13426,Roseville,14,8,2507,2523
SAL13427,Roseville Chase,5,0,413,420
SAL13428,Rosewood (Port Macquarie-Hastings - NSW),0,0,60,65
SAL13429,Rosewood (Snowy Valleys - NSW),0,0,49,49
SAL13430,Roslyn,0,0,35,35
SAL13431,Rossglen,0,0,10,10
SAL13432,Rossgole,0,0,0,0
SAL13433,Rossi,0,0,31,31
SAL13434,Rossmore (NSW),0,5,471,479
SAL13435,Rothbury,0,0,14,14
SAL13436,Roto,0,0,3,3
SAL13437,Rouchel,0,0,30,30
SAL13438,Rouchel Brook,0,0,10,10
SAL13439,Roughit,0,0,25,25
SAL13440,Round Mountain,0,0,39,39
SAL13441,Round Swamp,0,0,5,3
SAL13442,Rous,0,0,52,53
SAL13443,Rous Mill,0,0,53,53
SAL13444,Rouse Hill,12,15,2612,2635
SAL13445,Rowan,0,0,24,24
SAL13446,Rowena,0,0,36,36
SAL13447,Rowlands Creek,0,0,16,16
SAL13448,Royal National Park,0,0,4,4
SAL13449,Royalla,0,0,260,262
SAL13450,Rozelle,35,35,2025,2090
SAL13451,Ruby Creek,0,0,18,18
SAL13452,Rufus,0,0,7,7
SAL13453,Rugby,0,0,22,22
SAL13454,Rukenvale,0,0,4,4
SAL13455,Run-o-Waters,0,0,174,176
SAL13456,Running Stream,0,0,26,26
SAL13457,Runnyford,0,0,8,8
SAL13458,Ruse,0,12,1265,1280
SAL13459,Rushcutters Bay,45,13,321,382
SAL13460,Rushes Creek,0,0,25,25
SAL13461,Rushforth,0,0,73,73
SAL13462,Russell Lea,5,13,1156,1173
SAL13463,Russell Vale,0,0,353,352
SAL13464,Rutherford,21,26,2664,2707
SAL13465,Ruthven,0,0,23,23
SAL13466,Ryan (NSW),0,0,15,15
SAL13467,Rydal,0,0,39,35
SAL13468,Rydalmere,6,6,1557,1571
SAL13469,Ryde,63,68,7281,7409
SAL13470,Rye Park,0,0,54,58
SAL13471,Ryhope,0,0,6,6
SAL13472,Rylstone,0,0,213,217
SAL13473,Sackville,0,0,53,53
SAL13474,Sackville North,0,0,106,108
SAL13475,Saddleback Mountain,0,0,20,20
SAL13476,Sadleir,0,3,443,450
SAL13477,Safety Beach (NSW),0,4,302,303
SAL13478,Salamander Bay,6,9,1166,1179
SAL13479,Salisbury (NSW),0,0,15,17
SAL13480,Salisbury Plains,0,0,25,25
SAL13481,Sallys Flat,0,0,4,4
SAL13482,Salt Ash,0,0,261,261
SAL13483,Saltwater,0,0,0,0
SAL13484,San Isidore,0,0,92,94
SAL13485,San Remo (NSW),0,10,796,813
SAL13486,Sancrox,0,0,154,153
SAL13487,Sanctuary Point,11,18,1681,1706
SAL13488,Sandbar,0,0,0,0
SAL13489,Sandgate (NSW),0,0,20,20
SAL13490,Sandigo,0,0,17,17
SAL13491,Sandilands (NSW),0,0,6,6
SAL13492,Sandon (NSW),0,0,0,0
SAL13493,Sandringham (NSW),0,0,302,305
SAL13494,Sandy Beach,0,0,646,652
SAL13495,Sandy Creek (Cobar - NSW),0,0,5,5
SAL13496,Sandy Creek (Upper Hunter Shire - NSW),0,0,15,15
SAL13497,Sandy Crossing,0,0,8,8
SAL13498,Sandy Flat,0,0,23,25
SAL13499,Sandy Gully (NSW),0,0,4,4
SAL13500,Sandy Hill,0,0,10,10
SAL13501,Sandy Hollow,0,0,37,37
SAL13502,Sandy Point (NSW),0,0,170,168
SAL13503,Sanger,0,0,0,0
SAL13504,Sans Souci,13,8,2438,2459
SAL13505,Sapphire,0,0,7,7
SAL13506,Sapphire Beach,4,8,705,713
SAL13507,Saratoga,0,9,984,991
SAL13508,Sassafras (NSW),0,0,9,9
SAL13509,Saumarez,0,0,25,25
SAL13510,Saumarez Ponds,0,3,104,111
SAL13511,Savernake,0,0,25,25
SAL13512,Sawpit Creek,0,0,4,4
SAL13513,Sawtell,0,9,839,841
SAL13514,Sawyers Gully,0,0,132,130
SAL13515,Scarborough (NSW),0,0,81,81
SAL13516,Scheyville,0,0,0,0
SAL13517,Schofields,20,13,3694,3725
SAL13518,Scone,3,3,1277,1286
SAL13519,Scotia,0,0,0,0
SAL13520,Scotland Island,4,0,166,171
SAL13521,Scotts Creek (NSW),0,0,5,5
SAL13522,Scotts Flat,0,0,9,9
SAL13523,Scotts Head,0,5,241,242
SAL13524,Seaforth (NSW),8,9,1778,1789
SAL13525,Seaham,0,0,269,270
SAL13526,Seahampton,0,0,58,58
SAL13527,Seal Rocks,0,0,8,13
SAL13528,Sebastopol (NSW),0,0,11,11
SAL13529,Sedgefield,0,0,64,71
SAL13530,Seelands,0,0,107,107
SAL13531,Sefton,0,3,1139,1145
SAL13532,Segenhoe,0,0,43,45
SAL13533,Seven Hills (NSW),19,14,4349,4377
SAL13534,Seven Oaks,0,0,13,12
SAL13535,Sextonville,0,0,8,8
SAL13536,Shadforth (NSW),0,0,28,28
SAL13537,Shallow Bay,0,0,15,15
SAL13538,Shalvey,0,0,518,517
SAL13539,Shanes Park,0,0,71,74
SAL13540,Shannon Brook,0,0,41,41
SAL13541,Shannon Vale,0,0,36,36
SAL13542,Shannondale,0,0,17,17
SAL13543,Shannons Flat,0,0,21,21
SAL13544,Shark Creek,0,0,6,6
SAL13545,Sharps Creek,0,0,0,0
SAL13546,Sheedys Gully,0,0,33,33
SAL13547,Shell Cove,0,9,1947,1961
SAL13548,Shellharbour,0,4,852,858
SAL13549,Shellharbour City Centre,0,0,85,91
